layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.9009479870379524,0.03632008620093442,0.833182503770739,0.03689825687143654
2,last,0.9234739385950459,0.031592218214826696,0.848868778280543,0.03731728827908604
3,last,0.9340737079145385,0.034403023743733344,0.8837858220211162,0.03215217904704165
4,last,0.9443560169165706,0.0243275398945692,0.8837858220211162,0.03215217904704165
5,last,0.9579348602185973,0.020167283857624438,0.88763197586727,0.025373459790740172
6,last,0.9616652935684076,0.021570799990708104,0.8953996983408749,0.022970703601619683
7,last,0.9635766463448124,0.015569450987432763,0.891553544494721,0.01933709111649852
8,last,0.9697901905860384,0.013381126700121135,0.926395173453997,0.022332709460463302
9,last,0.9738551106717196,0.014660818464563562,0.9265460030165913,0.0370588265987963
10,last,0.9794771241830066,0.008877593663693019,0.9226244343891403,0.034237314023273624
11,last,0.9847597078046905,0.0076866046616896585,0.9224736048265461,0.017385683433439554
12,last,0.9792645685725271,0.017841961094734907,0.9301659125188537,0.023414316095433787
13,last,0.9783044982698961,0.011268161533450371,0.9187028657616894,0.013956014181985738
14,last,0.9722518811446147,0.00821790236971243,0.9148567119155354,0.014842349367548097
15,last,0.9585890042291426,0.015876797533792602,0.8837104072398191,0.001108366399449398
16,last,0.9615389685285878,0.018925881584755843,0.8951734539969834,0.03213147628714421
17,last,0.9615746690833197,0.020905371048066626,0.8875565610859729,0.02273777542548414
18,last,0.9650145548415445,0.02029056697098337,0.8914781297134237,0.019890639631716497
19,last,0.959923106497501,0.026240850821699684,0.8953996983408746,0.015224823013348395
20,last,0.9572900532762123,0.023379820179179684,0.88763197586727,0.0072177895107121744
21,last,0.9499115724721261,0.022823048702431493,0.8720211161387631,0.026866720911603883
22,last,0.9398374251661448,0.029451855318700867,0.8526395173453997,0.026919379866233606
23,last,0.9371560388861427,0.02526308053809367,0.8450226244343891,0.032438877243706525
24,last,0.9429142637447135,0.028024331154698903,0.8645550527903468,0.031652114682076356
25,last,0.9385901027077498,0.030818981774471635,0.8374057315233786,0.03521991400309465
26,last,0.9321892678640082,0.027612513993913297,0.82579185520362,0.03811245480691788
27,last,0.9383012028340747,0.02592927247170245,0.8452488687782805,0.04159561039888922
28,last,0.9353111440654693,0.024747394886754235,0.8491704374057315,0.0421325044234743
0,mean,0.8286296479376064,0.038627363290527066,0.7092006033182503,0.05080482858431295
1,mean,0.8799318943263581,0.04063213173032682,0.7866515837104073,0.04528053190820585
2,mean,0.9210023617290053,0.03435163445340727,0.8332579185520362,0.03830402787316518
3,mean,0.9370434448289119,0.0313209983658215,0.8527903469079939,0.03543098470220191
4,mean,0.9391673532157959,0.02835116389962059,0.8642533936651583,0.05051383158770615
5,mean,0.9391574669083319,0.027727993962428952,0.8642533936651583,0.04079305354069607
6,mean,0.9460883176800131,0.020862115849159816,0.8604826546003016,0.028252877367917345
7,mean,0.9517570165321031,0.021696915647440106,0.8720965309200602,0.03403739028416866
8,mean,0.9606557917284559,0.017272533855705114,0.9031674208144796,0.011706064936717669
9,mean,0.9656599110232328,0.014260236891227716,0.9071644042232277,0.025027483420198452
10,mean,0.9780260339429889,0.010714929039810058,0.9226244343891403,0.016696158124429938
11,mean,0.9787175262261767,0.014409739872314597,0.930316742081448,0.015051626586859618
12,mean,0.9793524468610973,0.01318006085819594,0.9264705882352942,0.018635235090496065
13,mean,0.980408634041852,0.011571560514573365,0.9226244343891403,0.020797805199444633
14,mean,0.980081836656231,0.01159046885443109,0.9226244343891403,0.020797805199444633
15,mean,0.9726555720327346,0.010570959108273506,0.9187028657616894,0.022413039549421736
16,mean,0.9740193332234854,0.010473868751339365,0.9187028657616894,0.025500457563086665
17,mean,0.9703196572746744,0.012482347471837737,0.9070135746606335,0.022299833304803833
18,mean,0.9713577195584115,0.011428447896572514,0.9070889894419307,0.018516747760008247
19,mean,0.9696276157521831,0.013459723010480679,0.899396681749623,0.025088764747130933
20,mean,0.9686280002196958,0.014555265841182947,0.9031674208144796,0.02434204100690095
21,mean,0.9645444059976931,0.013864632845540528,0.88763197586727,0.022529968697269438
22,mean,0.9608068325369364,0.015583008809407262,0.88763197586727,0.022529968697269438
23,mean,0.969331575767562,0.01156280121278211,0.8916289592760179,0.025799792380359145
24,mean,0.9693606854506507,0.011233333019125363,0.8838612368024134,0.016361705639605914
25,mean,0.9636145438567583,0.009832928585184225,0.8722473604826547,0.022359433436146513
26,mean,0.9693705717581149,0.01098661977335101,0.883785822021116,0.011596233489608091
27,mean,0.9796979183830394,0.008550767038625678,0.8990950226244344,0.015367970767187083
28,mean,0.9658614818476409,0.008670033270811006,0.8720965309200605,0.01958956103263149
